order_id,product_id,add_to_cart_order,reordered
28,35108,1,0
28,40593,2,1
28,17461,3,0
28,22825,4,1
28,25256,5,1
28,47626,6,1
28,37220,7,1
28,12980,8,1
28,27548,9,1
28,45504,10,1
28,18531,11,1
28,47209,12,1
28,24024,13,1
28,38544,14,1
28,37288,15,1
28,31915,16,1
71,10017,1,0
71,12023,2,0
71,47209,3,1
71,41544,4,0
71,5876,5,1
71,31553,6,1
71,31717,7,1
71,26209,8,1
71,39389,9,0
71,44632,10,1
109,36217,1,1
109,8195,2,1
109,25146,3,1
109,7948,4,0
109,4715,5,1
109,10616,6,1
109,49478,7,0
109,18848,8,1
109,26165,9,1
109,14131,10,0
109,19076,11,0
109,35871,12,0
109,49056,13,0
109,31555,14,1
109,22894,15,0
109,37751,16,0
109,42240,17,0
109,15452,18,0
109,33651,19,0
109,36066,20,0
109,40310,21,1
122,17794,1,0
122,18644,2,0
138,24363,1,1
138,29625,2,1
138,22935,3,1
138,15995,4,1
138,38890,5,1
138,28432,6,0
151,46931,1,0
151,26152,2,1
151,48697,3,1
151,30486,4,1
156,35383,1,1
156,13829,2,1
156,42719,3,1
156,12276,4,0
156,46720,5,0
161,40310,1,1
161,14464,2,1
161,34047,3,1
161,32691,4,1
161,12276,5,1
161,48800,6,0
161,48097,7,0
161,32141,8,1
161,17334,9,1
208,35350,1,0
208,36681,2,1
208,32429,3,1
208,34503,4,1
208,1582,5,1
208,28632,6,1
208,24852,7,1
208,36849,8,1
208,45066,9,1
208,48395,10,1
208,36736,11,0
208,3880,12,1
208,44926,13,1
208,34050,14,1
232,17835,1,0
232,40501,2,0
232,13176,3,0
232,39534,4,0
232,27086,5,0
232,44204,6,0
232,10132,7,0
232,4792,8,0
232,7521,9,0
232,29558,10,0
232,39055,11,0
232,29142,12,0
232,28745,13,0
232,21137,14,0
232,17794,15,0
232,8193,16,0
232,22935,17,0
232,37458,18,0
232,45633,19,0
232,37220,20,0
232,22504,21,0
232,44293,22,0
248,7963,1,1
248,38508,2,1
248,22963,3,1
248,21903,4,1
248,44359,5,1
248,19057,6,1
248,30718,7,0
248,33911,8,0
248,36714,9,0
248,9689,10,1
248,26476,11,0
248,37630,12,0
248,21653,13,0
248,8021,14,1
270,22275,1,0
270,14999,2,0
270,21641,3,0
270,33189,4,0
270,30776,5,0
270,32109,6,0
294,19934,1,1
294,9779,2,1
294,47119,3,1
425,33290,1,0
425,26499,2,0
425,18465,3,1
425,11068,4,1
425,16185,5,1
425,21681,6,0
425,16797,7,1
425,45066,8,0
425,22825,9,1
425,47209,10,1
425,16466,11,1
425,40982,12,1
425,46352,13,1
425,38533,14,0
425,34427,15,0
425,49235,16,1
465,27104,1,0
465,28204,2,0
465,18232,3,0
465,18200,4,0
465,47823,5,0
477,34407,1,0
477,26497,2,0
507,8580,1,0
507,9075,2,0
507,44051,3,0
507,1185,4,0
507,659,5,0
553,6948,1,1
553,22035,2,1
553,8467,3,1
553,28427,4,1
553,17419,5,1
553,2855,6,1
553,5876,7,1
553,40724,8,1
584,46346,1,0
584,39180,2,0
584,30849,3,0
584,17833,4,1
584,24852,5,1
584,37524,6,0
584,47209,7,1
584,22713,8,0
584,28993,9,1
584,40604,10,0
584,248,11,0
584,7762,12,1
584,42828,13,0
584,47144,14,0
584,25199,15,0
584,4656,16,0
584,32839,17,0
584,10912,18,0
584,34622,19,0
584,33606,20,0
584,13535,21,0
584,23734,22,0
723,1529,1,0
723,1359,2,0
723,7704,3,0
723,15349,4,0
723,26452,5,0
723,3740,6,1
723,12581,7,0
723,14084,8,1
739,16797,1,1
739,26604,2,1
739,24852,3,1
831,46667,1,0
831,41588,2,0
831,49131,3,0
831,27344,4,1
831,14332,5,0
831,47059,6,1
857,39947,1,1
857,12576,2,1
857,45747,3,1
857,19322,4,1
857,34244,5,0
857,7175,6,1
857,31506,7,1
857,9178,8,1
857,41950,9,1
857,21137,10,1
857,13838,11,0
857,33716,12,0
857,4462,13,1
857,43122,14,0
857,48171,15,0
857,13560,16,0
857,44282,17,1
857,14429,18,1
857,37971,19,0
857,8362,20,1
857,5517,21,0
857,30795,22,0
926,36472,1,1
926,46061,2,1
926,46149,3,0
954,42240,1,1
954,588,2,1
954,17678,3,1
954,31808,4,1
977,40174,1,1
977,11980,2,1
977,35342,3,1
977,24954,4,1
977,20561,5,1
977,21573,6,1
977,33358,7,1
977,5902,8,1
977,25837,9,1
977,11440,10,1
977,10132,11,1
977,16797,12,1
977,31693,13,1
977,47185,14,1
977,9932,15,1
977,3820,16,1
977,46692,17,1
977,41949,18,0
977,14159,19,0
977,1006,20,0
977,24713,21,0
977,43867,22,0
977,18171,23,0
977,13815,24,1
977,24852,25,1
977,46724,26,1
977,15097,27,1
977,7781,28,0
977,19799,29,0
977,36002,30,1
977,44359,31,0
977,13870,32,0
977,21614,33,0
977,23630,34,0
977,14502,35,0
1056,47626,1,1
1056,16213,2,0
1056,44538,3,1
1149,13176,1,1
1149,27845,2,1
1149,13166,3,1
1149,4472,4,1
1149,10753,5,1
1149,5077,6,1
1149,21903,7,1
1149,26165,8,1
1149,23783,9,1
1149,19034,10,0
1149,27966,11,0
1290,47766,1,1
1290,19204,2,1
1290,27315,3,1
1290,9808,4,1
1290,11020,5,1
1290,19548,6,1
1290,3699,7,1
1290,17326,8,1
1290,34126,9,1
1290,11440,10,1
1290,38504,11,1
1290,33989,12,0
1301,15271,1,0
1301,46565,2,1
1301,48551,3,1
1301,16622,4,0
1353,7533,1,1
1353,264,2,1
1353,24852,3,1
1353,12672,4,1
1353,33129,5,1
1353,35221,6,1
1353,47766,7,1
1353,10151,8,1
1353,8228,9,0
1353,3431,10,0
1353,21376,11,1
1353,33745,12,1
1353,33351,13,1
1451,25659,1,1
1451,24852,2,1
1451,30290,3,1
1451,7500,4,0
1469,25466,1,1
1469,34027,2,1
1469,9340,3,1
1469,49605,4,1
1469,25146,5,0
1469,42356,6,0
1469,45588,7,1
1469,23909,8,1
1469,24852,9,1
1469,28931,10,1
1469,34862,11,1
1469,11014,12,1
1469,20561,13,1
1481,23098,1,0
1486,5025,1,0
1486,49683,2,1
1486,29487,3,1
1486,19660,4,0
1486,5479,5,0
1486,5303,6,1
1486,36724,7,1
1486,42585,8,1
1486,48595,9,1
1486,21938,10,0
1486,15290,11,0
1486,8022,12,0
1486,44268,13,0
1486,9290,14,0
1486,20876,15,0
1486,28613,16,0
1552,47766,1,1
1552,25890,2,1
1552,45345,3,1
1552,1939,4,1
1552,1940,5,1
1552,20114,6,1
1552,10749,7,1
1552,23836,8,1
1552,26201,9,0
1552,8057,10,0
1552,26497,11,0
1552,26209,12,1
1552,41690,13,1
1552,4163,14,1
1552,11870,15,0
1581,27845,1,1
1581,22594,2,1
1581,24852,3,1
1581,47403,4,1
1581,18370,5,1
1581,16290,6,1
1581,21137,7,1
1581,7806,8,1
1581,2298,9,1
1581,4455,10,1
1581,14881,11,1
1581,30806,12,1
1581,38250,13,1
1581,25890,14,0
1581,39619,15,1
1581,18362,16,1
1581,24489,17,1
1581,30233,18,1
1581,397,19,0
1581,17284,20,1
1581,28745,21,1
1581,25588,22,0
1581,22228,23,1
1581,3952,24,1
1581,32734,25,1
1581,33043,26,1
1581,34969,27,1
1581,22260,28,1
1581,5677,29,1
1581,37193,30,0
1605,47209,1,1
1605,39928,2,1
1605,22825,3,1
1605,37646,4,1
1605,18523,5,1
1605,46676,6,1
1605,8518,7,1
1605,30391,8,1
