order_id,product_id,add_to_cart_order,reordered
1579,35000,1,1
1579,25466,2,1
1579,47380,3,0
1579,42900,4,1
1579,11123,5,1
3529,17261,1,0
3529,6679,2,1
4968,5077,1,1
4968,26322,2,0
4968,1263,3,1
4968,6448,4,0
4968,27045,5,0
4968,28473,6,1
4968,21333,7,0
4968,46842,8,0
4968,2029,9,0
4968,10673,10,0
4968,39988,11,0
4968,32338,12,0
4968,24852,13,0
4968,5750,14,0
4968,3285,15,0
4998,25466,1,1
4998,27966,2,1
4998,24838,3,1
5044,28553,1,1
5044,46802,2,1
5044,21903,3,0
5044,47209,4,0
5044,17638,5,0
5044,31328,6,0
5796,397,1,0
5796,13249,2,1
5796,28842,3,0
5796,39107,4,0
5796,45061,5,0
5796,8204,6,0
5796,1313,7,0
5796,35370,8,0
5796,23067,9,0
5796,15600,10,1
5796,39751,11,0
5796,22551,12,0
5796,10853,13,0
5796,15915,14,0
5796,9884,15,1
5796,40453,16,0
5796,31479,17,0
5796,12788,18,0
5796,43136,19,1
5796,39581,20,1
5796,21011,21,0
5796,16761,22,0
5796,40027,23,0
5796,32137,24,0
5796,36086,25,1
5796,22427,26,1
7724,7325,1,1
7724,47209,2,1
7724,45007,3,1
7724,1529,4,1
11382,30391,1,1
11382,37646,2,1
11980,11844,1,1
11980,28415,2,1
11980,28309,3,1
11980,38159,4,0
11980,25305,5,1
11980,10514,6,1
11980,37985,7,0
11980,43432,8,1
11980,48222,9,1
11980,23848,10,1
11980,17758,11,1
11980,40198,12,1
11980,46886,13,1
14971,5612,1,1
14971,39275,2,1
14971,28699,3,0
14971,30385,4,0
14971,16797,5,0
14971,22312,6,0
15044,38768,1,1
15044,8571,2,1
15044,20940,3,1
15044,21573,4,1
15044,20518,5,1
15044,10685,6,0
15044,13176,7,0
15044,8803,8,1
15044,48762,9,0
19004,12916,1,1
19004,27505,2,0
19004,38875,3,0
19004,30140,4,0
19004,43565,5,0
19004,32047,6,1
19004,19057,7,0
19004,18673,8,1
19004,37478,9,0
19004,44413,10,0
19004,16731,11,1
19004,38777,12,1
