order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
364423,71,prior,1,3,10,
1962560,71,prior,2,3,16,7.0
1841185,71,prior,3,5,12,9.0
3112384,71,prior,4,0,19,2.0
2012622,71,prior,5,4,21,18.0
434668,71,prior,6,2,14,12.0
2861050,71,prior,7,3,9,8.0
2606009,71,prior,8,3,16,14.0
920597,71,prior,9,5,14,30.0
21889,71,prior,10,2,15,11.0
1382694,71,prior,11,5,13,3.0
1964503,71,prior,12,0,13,30.0
2538672,71,prior,13,5,6,26.0
1437649,71,prior,14,0,15,16.0
2600443,71,prior,15,1,9,8.0
322607,71,prior,16,3,17,16.0
461359,71,prior,17,1,11,12.0
2389339,71,prior,18,4,14,10.0
1072501,71,prior,19,4,9,14.0
703584,71,prior,20,6,14,9.0
2075249,71,prior,21,3,15,18.0
3065988,71,prior,22,5,16,23.0
1551092,71,prior,23,2,10,18.0
3038639,71,train,24,5,13,17.0
629426,102,prior,1,3,11,
3404327,102,prior,2,6,23,24.0
3368457,102,prior,3,0,17,30.0
1931578,102,prior,4,1,12,30.0
2196914,102,prior,5,5,23,11.0
2531610,102,prior,6,5,14,30.0
2591641,102,train,7,0,20,30.0
777370,106,prior,1,6,12,
891339,106,prior,2,0,13,8.0
355095,106,prior,3,5,18,12.0
2549875,106,train,4,6,13,8.0
1124555,130,prior,1,5,13,
319917,130,prior,2,5,12,30.0
2111339,130,prior,3,5,12,30.0
2437480,130,train,4,3,12,12.0
1192185,239,prior,1,3,2,
1305265,239,prior,2,1,18,30.0
2220351,239,prior,3,5,12,30.0
1520075,239,prior,4,6,2,15.0
857469,239,prior,5,1,7,16.0
2941534,239,train,6,0,2,6.0
795884,273,prior,1,1,16,
2578458,273,prior,2,6,16,5.0
2024887,273,prior,3,0,13,1.0
1787108,273,prior,4,6,15,30.0
2755405,273,prior,5,0,18,8.0
3385779,273,prior,6,3,10,30.0
389284,273,prior,7,0,15,25.0
1281026,273,prior,8,0,12,7.0
1182633,273,prior,9,0,19,14.0
2691836,273,prior,10,0,15,14.0
